"YearCE" "Conflict" "Monuments" "Monuments_adj" "Cariaco_Rub_SST" "Cariaco_Bull_SST" "YokCave_d18O"
426 0 3 3 28.4126 28.018 -3.61
427 0 0 0 28.532 28.3344 -3.4525
428 0 0 0 28.5402 28.6419 -3.47055555555555
429 0 0 0 28.4492 28.4131 -3.44777777777778
430 0 0 0 28.2273 28.168 -3.34222222222222
431 0 1 1 27.9376 27.9172 -3.23333333333333
432 0 0 0 27.8738 27.6389 -3.58583333333333
433 0 0 0 28.0204 27.3533 -3.668
434 0 0 0 28.2508 27.08 -3.87777777777778
435 0 11 11 28.1632 27.3802 -3.585
436 0 0 0 28.1087 27.6723 -3.87666666666667
437 0 2 2 28.0867 27.9129 -3.97555555555556
438 0 0 0 28.1111 27.4522 -3.75111111111111
439 0 0 0 28.1846 26.9712 -3.96555555555556
440 0 0 0 28.3017 26.556 -3.97428571428571
441 0 0 0 28.2606 27.0478 -3.83285714285714
442 0 0 0 28.1045 27.5182 -3.57166666666667
443 0 0 0 28.0074 27.8894 -3.56181818181818
444 0 0 0 28.0126 27.6249 -3.682
445 0 1 1 28.0245 27.3538 -3.9075
446 0 0 0 28.1116 27.0938 -3.83875
447 0 0 0 28.2082 26.9408 -3.715
448 0 0 0 28.2 26.7855 -3.78
449 0 0 0 28.153 26.6887 -3.63
450 0 2 2 28.0789 26.8919 -3.5
451 1 0 1 27.9797 27.0913 -3.55
452 0 0 0 27.9685 27.2582 -3.605
453 0 0 0 28.2057 27.3031 -3.7425
454 0 0 0 28.4074 27.3477 -4
455 0 5 5 28.2545 27.3514 -4.165
456 0 1 1 28.0567 27.2095 -4.14333333333333
457 0 0 0 28.071 27.0657 -4.08666666666667
458 0 1 1 28.1391 26.9561 -4.065
459 0 0 0 28.1632 26.9561 -4.105
460 0 0 0 28.1174 26.9561 -4.095
461 0 0 0 28.0939 26.9813 -4.095
462 0 0 0 28.0976 27.073 -4.03
463 0 0 0 28.0786 27.164 -3.945
464 0 0 0 28.044 27.2357 -3.84
465 0 1 1 28.0806 27.2636 -3.705
466 0 0 0 28.1018 27.2915 -3.755
467 0 0 0 28.105 27.3091 -3.83
468 0 0 0 28.1546 27.3058 -3.94
469 0 0 0 28.2819 27.3025 -3.99
470 0 0 0 28.2339 27.2992 -3.895
471 0 0 0 27.997 27.2958 -4.11
472 0 0 0 27.8618 27.2925 -4.35
473 0 0 0 27.884 27.1338 -4.17
474 0 0 0 27.9206 26.7105 -4.33
475 0 5 5 27.8507 26.27 -4.27
476 0 0 0 27.7994 26.1019 -4.6
477 0 0 0 27.8772 26.3489 -4.55
478 0 0 0 27.9948 26.5903 -4.665
479 0 0 0 28.0128 26.7724 -4.66
480 0 1 1 27.9237 26.8814 -4.595
481 0 0 0 27.8403 26.9894 -4.57
482 0 0 0 27.8239 27.1798 -4.49
483 0 0 0 27.8194 27.4626 -4.41
484 0 0 0 27.8061 27.7382 -4.13
485 0 3 3 27.7848 27.7596 -4.2
486 0 1 1 27.7759 27.5141 -4.305
487 0 0 0 27.7728 27.263 -4.19
488 0 1 1 27.7882 27.0059 -4.6
489 0 0 0 27.8242 26.7426 -3.78
490 0 0 0 27.8481 26.7461 -4.35
491 0 0 0 27.8278 26.7689 -4.195
492 0 0 0 27.8085 26.7917 -3.96
493 0 0 0 27.8096 26.8144 -3.86
494 0 0 0 27.8099 26.837 -3.905
495 0 9 9 27.825 26.8596 -3.73
496 0 0 0 27.8432 27.0029 -3.79
497 0 1 1 27.8435 27.1739 -3.58
498 0 0 0 27.8292 27.3422 -3.55
499 0 0 0 27.8466 27.5079 -3.91
500 0 0 0 27.9421 27.6712 -3.89
501 0 1 1 27.981 27.832 -4.04
502 0 0 0 27.9602 27.8818 -3.82
503 0 0 0 28.0017 27.8768 -3.93
504 0 2 2 28.1103 27.8718 -3.89
505 0 0 0 28.1135 27.8668 -4.095
506 0 0 0 28.0226 27.8618 -4.1
507 0 1 1 28.0665 27.8568 -4.1
508 0 0 0 28.1195 27.7774 -4.41
509 0 0 0 28.1975 27.6313 -4.285
510 0 0 0 28.2589 27.4833 -4.56
511 0 1 1 28.1885 27.3333 -4.57
512 0 0 0 28.1402 27.1811 -4.44
513 1 1 1 28.2662 27.0268 -4.32
514 0 6 6 28.3198 26.9705 -4.26
515 0 0 0 28.1543 27.0632 -4.08
516 0 0 0 28.0252 27.1552 -3.89
517 0 0 0 28.0221 27.2464 -4.03
518 0 2 2 28.0011 27.3369 -4.29
519 0 0 0 27.9684 27.4265 -4.09
520 0 0 0 27.9216 27.4653 -4.18
521 0 0 0 27.8875 27.3652 -4.07
522 0 1 1 27.912 27.2641 -4.04
523 0 0 0 27.9578 27.1621 -4.16
524 0 3 3 27.973 27.0591 -4.15
525 0 3 3 27.9739 26.9551 -4.14
526 0 0 0 27.8916 26.857 -4.11
527 0 2 2 27.8189 26.8034 -4.14
528 0 0 0 27.9056 26.7496 -4.22
529 0 0 0 27.9522 26.6955 -4.13
530 0 1 1 27.9252 26.6411 -4.06
531 0 0 0 27.9122 26.5864 -4
532 0 0 0 27.9172 26.5315 -4.07
533 0 0 0 27.9235 26.5284 -4.09
534 0 7 7 27.9239 26.5252 -4.03
535 0 0 0 27.9232 26.5221 -4.08
536 0 3 3 27.9214 26.519 -4.06
537 0 0 0 27.8977 26.5159 -4.16
538 0 0 0 27.8766 26.5128 -4.22
539 0 0 0 27.9697 26.7126 -4.19
540 0 0 0 28.036 26.9392 -4.1
541 0 1 1 27.9114 27.1611 -3.98
542 0 0 0 27.829 27.3786 -3.9
543 0 0 0 27.8598 27.5918 -3.93
544 0 0 0 27.9474 27.8009 -4.02
545 0 0 0 28.0725 27.714 -3.915
546 0 0 0 28.1648 27.5174 -3.9
547 0 0 0 28.2381 27.3171 -3.99
548 0 0 0 28.2021 27.1131 -3.94
549 0 0 0 28.1298 26.9052 -4.31
550 0 0 0 28.1249 26.6933 -4.32
551 0 0 0 28.1078 26.6856 -4.41
552 0 2 2 28.0556 26.8149 -4.29
553 0 0 0 28.0031 26.9426 -4.29
554 0 6 6 27.9756 27.0689 -4.14
555 0 0 0 27.9469 27.1937 -4.06
556 2 0 2 27.9139 27.3171 -4.025
557 0 1 1 27.9132 27.3236 -3.88
558 0 0 0 27.9561 27.1967 -3.775
559 0 0 0 27.9125 27.0682 -3.74
560 0 1 1 27.8278 26.9382 -3.6
561 0 1 1 27.9088 26.8066 -3.63
562 1 0 1 28.0738 26.6734 -3.38
