YearCE,MgCaRub,SSTRub,MgCaBull,SSTBull      
160,4.4617,28.4929,4.6484,26.721
161,4.5607,28.612,4.7457,26.9462
162,4.6597,28.5099,4.843,27.1668
163,4.6904,28.2039,4.8657,27.2178
164,4.6948,28.0814,4.8599,27.2046
165,4.6992,28.1211,4.854,27.1914
166,4.7036,28.125,4.8481,27.1782
167,4.6938,28.0937,4.8434,27.1678
168,4.6751,28.0508,4.8396,27.1592
169,4.6563,28.0149,4.8358,27.1506
170,4.6375,28.0631,4.8319,27.1419
171,4.6459,28.169,4.8312,27.1404
172,4.6813,28.2156,4.8336,27.1458
173,4.7167,28.1984,4.8361,27.1513
174,4.752,28.1652,4.8385,27.1568
175,4.7877,28.1273,4.8438,27.1686
176,4.8236,28.1383,4.8535,27.1904
177,4.8595,28.2384,4.8632,27.2122
178,4.8955,28.3197,4.873,27.2339
179,4.9251,28.3589,4.8854,27.2616
180,4.9385,28.3593,4.9049,27.3048
181,4.9519,28.253,4.9243,27.3478
182,4.9653,28.1583,4.9438,27.3907
183,4.9769,28.2991,4.9564,27.4183
184,4.9798,28.441,4.9345,27.3702
185,4.9826,28.2052,4.9126,27.3219
186,4.9855,28.125,4.8907,27.2733
187,4.9927,28.2392,4.8688,27.2246
188,5.075,28.4173,4.8469,27.1756
189,5.1573,28.2044,4.825,27.1264
190,5.2396,28.0316,4.8031,27.0769
191,5.3219,28.1213,4.7812,27.0273
192,5.1809,28.1483,4.7984,27.0662
193,5.0268,28.1957,4.8178,27.1102
194,4.8726,28.2145,4.8373,27.154
195,4.7185,28.1652,4.8568,27.1977
196,4.7599,28.1849,4.8539,27.1913
197,4.8404,28.1995,4.8466,27.175
198,4.9209,28.2046,4.8393,27.1586
199,5.0014,28.1421,4.832,27.1422
200,4.9552,28.0549,4.83,27.1376
201,4.8604,28.0709,4.83,27.1376
202,4.7655,28.1247,4.83,27.1376
203,4.6706,28.0997,4.83,27.1376
204,4.6799,28.0502,4.7958,27.0604
205,4.7556,28.0163,4.7399,26.9329
206,4.8312,28.0257,4.6839,26.8038
207,4.9068,28.0799,4.628,26.6732
208,4.9528,28.1294,4.6097,26.6302
209,4.9692,28.3669,4.6292,26.676
210,4.9855,28.9149,4.6486,26.7216
211,5.0019,28.9499,4.6681,26.7669
212,5.0654,28.3398,4.7064,26.8559
213,5.2029,28.0546,4.7746,27.0121
214,5.3404,28.0454,4.8427,27.1661
215,5.478,28.0999,4.9108,27.318
216,5.544,28.2933,4.9607,27.4278
217,5.4243,28.334,4.9631,27.4331
218,5.3046,28.1993,4.9655,27.4384
219,5.1849,28.095,4.968,27.4438
220,5.0871,28.0457,4.9611,27.4287
221,5.0986,28.042,4.9076,27.3108
222,5.1101,28.1162,4.8541,27.1916
223,5.1216,28.1968,4.8005,27.0711
224,5.1306,28.1902,4.7524,26.9616
225,5.0987,28.1698,4.7962,27.0613
226,5.0668,28.1274,4.84,27.1601
227,5.0349,28.088,4.8838,27.258
228,5.003,28.0684,4.9276,27.355
229,4.9388,28.0369,4.8802,27.2501
230,4.8728,27.9645,4.8275,27.132
231,4.8068,27.8791,4.7748,27.0127
232,4.7408,27.893,4.7221,26.892
233,4.7594,27.9523,4.7167,26.8796
234,4.7949,27.9521,4.7208,26.8889
235,4.8305,27.929,4.7248,26.8983
236,4.8661,27.9071,4.7289,26.9076
237,4.8721,27.8589,4.7405,26.9344
238,4.8668,27.8103,4.7551,26.9678
239,4.8616,27.7861,4.7697,27.0011
240,4.8563,27.8278,4.7843,27.0343
241,4.851,27.9154,4.9074,27.3105
242,4.8457,27.9562,5.0996,27.728
243,4.8404,27.9544,5.2918,28.1301
244,4.8351,27.9389,5.4839,28.5178
245,4.8375,27.8998,5.5107,28.5707
246,4.8475,27.8791,5.372,28.2937
247,4.8575,27.9043,5.2334,28.0095
248,4.8675,27.9366,5.0947,27.7176
249,4.8948,27.9604,5.0195,27.5558
