YearCE,MgCaRub,SSTRub,MgCaBull,SSTBull      
640,4.9743,28.5277,4.6697,26.7707
641,4.9495,28.6554,4.6782,26.7904
642,4.9248,28.6124,4.6866,26.8101
643,4.9014,28.5695,4.6949,26.8292
644,4.8789,28.5593,4.703,26.8481
645,4.8565,28.5012,4.7112,26.8669
646,4.834,28.3833,4.7193,26.8857
647,4.8116,28.3755,4.7275,26.9045
648,4.7891,28.4242,4.7357,26.9232
649,4.7962,28.4702,4.7674,26.9958
650,4.8371,28.5211,4.8261,27.1288
651,4.878,28.7249,4.8848,27.2602
652,4.9189,28.9834,4.9435,27.39
653,4.9598,28.7474,5.0022,27.5183
654,5.0007,28.6629,5.0609,27.6451
655,5.0232,28.7228,5.091,27.7097
656,5.0088,28.7433,5.0641,27.6521
657,4.9944,28.7121,5.0372,27.5942
658,4.9801,28.7654,5.0103,27.536
659,4.9657,28.8638,4.9834,27.4775
660,4.9514,28.6765,4.9565,27.4187
661,4.937,28.4658,4.9296,27.3595
662,4.9226,28.4561,4.9027,27.3
663,4.9083,28.4387,4.8758,27.2402
664,4.8939,28.3971,4.8489,27.1801
665,4.8796,28.4051,4.822,27.1196
666,4.8652,28.4506,4.7951,27.0588
667,4.8508,28.4183,4.7798,27.024
668,4.8365,28.3337,4.9264,27.3524
669,4.8221,28.3386,5.073,27.6712
670,4.8078,28.3637,5.2197,27.981
671,4.7934,28.3941,5.3163,28.1804
672,4.779,28.4661,5.0132,27.5422
673,4.7647,28.6425,4.8052,27.0817
674,4.7503,28.6563,4.7878,27.0422
675,4.779,28.4615,4.7519,26.9604
676,4.8421,28.414,4.7012,26.8439
677,4.9216,28.4627,4.6506,26.7263
678,5.0058,28.4689,4.6,26.6073
679,5.0997,28.4607,4.697,26.8342
680,5.1619,28.574,4.791,27.0494
681,5.1134,28.6247,4.8739,27.236
682,5.0828,28.611,4.9275,27.3549
683,5.0746,28.4514,4.9444,27.392
684,4.846,28.0483,5.0888,27.7049
685,4.5073,27.9683,5.2969,28.1406
686,4.6789,28.3467,5.1503,27.8356
687,4.9158,28.5446,4.9663,27.44
688,5.1654,28.6645,4.8365,27.1523
689,5.2337,28.5676,4.8925,27.2774
690,4.9394,28.3467,5.32,28.1879
691,4.7113,28.2294,5.3319,28.2121
692,4.5362,28.1865,5.0112,27.538
693,4.6946,28.3531,4.9446,27.3926
694,4.9483,28.3619,4.9506,27.4057
695,4.7986,28.0955,4.9566,27.4188
696,4.67,28.0251,5.0073,27.5295
697,4.6156,28.0172,5.2148,27.9707
698,4.5565,28.0823,5.395,28.3401
699,4.4915,28.123,5.5412,28.6308
700,4.473,27.8575,5.6875,28.914
701,4.4778,27.7957,5.8338,29.1899
702,4.4826,28.0854,5.59,28.726
703,4.4927,28.1431,5.3157,28.1791
704,4.5448,28.1146,5.1867,27.912
705,4.6805,28.1876,5.0894,27.7061
706,4.9835,28.3527,5.0554,27.6334
707,5.0143,28.191,5.0215,27.5602
708,4.8275,28.0095,4.9875,27.4865
709,4.6103,28.0515,4.9406,27.3838
710,4.3844,28.0066,4.89,27.2718
711,4.376,27.9915,4.8394,27.1587
712,4.3757,27.9275,4.8132,27.0998
713,4.4039,27.8873,4.8726,27.2332
714,4.4321,28.0363,4.9321,27.3649
715,4.4602,28.2126,4.9915,27.4951
716,4.4884,28.2872,4.9331,27.3672
717,4.5166,28.3075,4.8158,27.1057
718,4.5162,28.139,4.6985,26.8377
719,4.5122,27.9718,4.6178,26.6492
720,4.5082,27.8292,4.8291,27.1356
721,4.5042,27.9306,5.0234,27.5644
722,4.5002,28.1463,5.1837,27.9059
723,4.4962,28.0853,5.3441,28.237
724,4.4923,28.014,5.5044,28.5582
725,4.4988,28.1066,5.33,28.2083
726,4.5083,28.1337,5.06,27.6433
727,4.4257,28.0344,4.8069,27.0855
728,4.3432,28.0501,4.6675,26.7656
729,4.2607,28.1834,4.9262,27.3521
730,4.364,28.0868,5.1475,27.8296
731,4.6996,27.9275,5.3219,28.1917
732,4.8157,28.0279,5.3406,28.23
733,4.822,28.0392,5.2816,28.1091
734,4.7909,27.9399,5.2225,27.9869
735,4.7551,27.898,5.1653,27.8671
736,4.7192,27.9508,5.123,27.7778
737,4.6834,28.0164,5.1235,27.7788
738,4.6476,28.0459,5.2096,27.96
739,4.6788,28.1337,5.5369,28.6223
740,4.7636,28.2209,6.0571,29.5983
741,4.8541,27.9133,5.5984,28.7423
742,4.9462,27.8461,4.86,27.2049
743,4.9358,27.9565,4.9725,27.4537
744,4.9255,28.04,5.0975,27.7235
745,4.9151,28.0561,5.2662,28.0775
746,4.9048,28.0955,5.2325,28.0077
747,4.8944,28.1559,4.9456,27.3948
748,4.8841,27.9319,4.8403,27.1607
749,4.8737,27.8373,4.8257,27.1279
750,4.8633,27.9031,4.8219,27.1194
751,4.853,27.9851,4.8195,27.1139
752,4.8426,28.0886,4.817,27.1084
753,4.8323,27.9937,4.8972,27.2878
754,4.8219,27.8148,5.0031,27.5204
755,4.8116,27.82,5.109,27.748
756,4.8012,27.8362,5.2149,27.971
757,4.7909,27.8461,5.2582,28.0609
758,4.7805,27.8368,5.1464,27.8273
759,4.7702,27.8095,5.0346,27.5885
760,4.7598,27.792,4.9228,27.3444
761,4.7495,27.7679,4.811,27.0947
762,4.7391,27.9499,4.839,27.1579
763,4.7287,28.1083,4.8994,27.2926
764,4.7184,28.1198,4.9597,27.4256
765,4.708,28.0719,5.02,27.5571
766,4.6952,27.8741,5.0456,27.6123
767,4.6777,27.7955,5.0029,27.5198
768,4.6601,27.8462,4.9601,27.4266
769,4.6426,27.9602,4.9174,27.3326
770,4.625,28.0479,4.8747,27.2377
771,4.6623,27.9788,5.0387,27.5973
772,4.7084,27.8986,5.2356,28.014
773,4.7546,27.8187,5.4325,28.4153
774,4.8007,27.9228,5.6294,28.8023
775,4.8113,28.1009,5.6904,28.9196
776,4.766,28.0373,5.5368,28.622
777,4.7208,27.8793,5.3831,28.316
778,4.6755,27.8744,5.2294,28.0011
779,4.6302,27.8934,5.0757,27.6769
780,4.6449,28.0782,5.0597,27.6427
781,4.6654,28.1702,5.057,27.6368
782,4.6858,28.1107,5.0543,27.631
783,4.7063,28.1791,5.0515,27.6251
784,4.7268,28.3795,5.0979,27.7244
785,4.7473,28.3551,5.2074,27.9554
786,4.7678,28.2675,5.3169,28.1816
787,4.7883,28.0931,5.4264,28.4032
788,4.8087,28.0372,5.5359,28.6203
789,4.8292,28.0444,5.4626,28.4754
790,4.8497,28.0678,5.3821,28.3141
791,4.8702,28.1174,5.3017,28.1504
792,4.8907,28.0292,5.2212,27.9842
793,4.9444,27.9706,5.1462,27.8269
794,5.0331,28.0122,5.077,27.6796
795,5.1219,28.1069,5.0077,27.5303
796,5.2106,28.257,4.9384,27.3789
797,5.2974,28.3734,4.8727,27.2332
798,5.2257,28.4619,5.0849,27.6967
799,5.1541,28.2501,5.2972,28.1413
800,5.0825,28.1225,5.5095,28.5684
801,5.0109,28.1372,5.7218,28.9794
802,5.0093,28.2074,5.7094,28.9557
803,5.068,28.3234,5.5036,28.5567
804,5.1266,28.2991,5.2978,28.1425
805,5.1852,28.1823,5.092,27.7118
806,5.2316,28.289,4.9029,27.3006
807,5.0936,28.3182,4.9647,27.4365
808,4.9557,28.3502,5.0264,27.5708
809,4.8177,28.306,5.0881,27.7035
810,4.6798,28.177,5.1498,27.8346
811,4.6888,28.1788,5.139,27.8116
812,4.801,28.2504,5.0772,27.6801
813,4.9133,28.1505,5.0154,27.547
814,5.0255,28.08,4.9536,27.4122
815,5.1174,28.2068,4.9048,27.3046
816,5.0495,28.4531,4.9587,27.4235
817,4.9816,28.7061,5.0126,27.541
818,4.9137,28.5283,5.0665,27.6573
819,4.8458,28.2772,5.1205,27.7724
820,4.8048,28.2685,5.103,27.7352
821,4.7792,28.3167,5.0449,27.6107
822,4.7535,28.55,4.9868,27.4848
823,4.7278,28.6532,4.9287,27.3574
824,4.7051,28.5817,4.8849,27.2605
825,4.698,28.3968,4.9151,27.3274
826,4.6909,28.0311,4.9452,27.3939
827,4.6838,28.1449,4.9754,27.46
828,4.6767,28.1856,5.0056,27.5257
829,4.6629,28.176,5.0357,27.591
830,4.6461,28.2058,5.0659,27.656
831,4.6293,28.2726,5.0961,27.7205
832,4.6125,28.1891,5.1262,27.7846
833,4.6025,28.0104,5.1543,27.8439
834,4.6177,28.0659,5.1744,27.8863
835,4.633,28.0925,5.1945,27.9284
836,4.6483,28.088,5.2146,27.9704
837,4.6636,28.1268,5.2347,28.0123
838,4.6789,28.2313,5.1774,27.8925
839,4.6941,28.142,5.0925,27.7128
840,4.7094,28.0619,5.0075,27.53
841,4.7247,28.0578,4.9226,27.3441
842,4.721,28.055,4.8724,27.2326
843,4.6639,28.0458,4.9196,27.3374
844,4.6068,28.1918,4.9668,27.4412
845,4.5497,28.4622,5.014,27.5439
846,4.4926,28.2534,5.0612,27.6458
847,4.5112,28.0652,5.0182,27.5531
848,4.5503,28.0878,4.9509,27.4063
849,4.5894,28.0999,4.8836,27.2575
850,4.6285,28.0998,4.8163,27.1067
851,4.6676,28.0804,4.7951,27.0589
852,4.7067,28.0574,4.8756,27.2397
853,4.7458,28.0671,4.956,27.4176
854,4.7849,28.078,5.0365,27.5926
855,4.824,28.0891,5.1169,27.7649
856,4.8197,28.0951,5.1525,27.8401
857,4.8069,28.1027,5.1793,27.8965
858,4.7942,28.1416,5.2061,27.9526
859,4.7815,28.2131,5.2329,28.0085
860,4.7839,28.281,5.2095,27.9598
861,4.813,28.3154,5.0978,27.7241
862,4.8421,28.2888,4.986,27.4832
863,4.8712,28.3415,4.8743,27.2369
864,4.9003,28.4017,4.7626,26.9848
865,4.871,28.4238,4.7718,27.0059
866,4.8342,28.4331,4.7964,27.0617
867,4.7974,28.4085,4.821,27.1173
868,4.7606,28.3535,4.8456,27.1726
869,4.7607,28.1975,4.8858,27.2625
870,4.8133,28.1902,4.9484,27.4008
871,4.866,28.2447,5.0109,27.5374
872,4.9186,28.3742,5.0735,27.6723
873,4.9713,28.3651,5.1361,27.8055
874,4.8348,28.1334,5.1924,27.924
875,4.6857,28.0388,5.2482,28.0403
876,4.5366,27.9993,5.3041,28.1554
877,4.3875,28.0222,5.36,28.2693
878,4.3196,28.0435,5.2887,28.1238
879,4.3462,27.9601,5.0697,27.6641
880,4.3728,27.9899,4.8507,27.1842
881,4.3994,28.1424,4.6317,26.682
882,4.426,28.1196,4.4127,26.1555
883,4.4526,28.0743,4.4762,26.3108
884,4.4792,28.0847,4.5432,26.4723
885,4.5058,28.1204,4.6103,26.6316
886,4.5324,28.2318,4.6773,26.7885
887,4.5923,28.1235,4.7489,26.9536
888,4.6838,27.9932,4.8249,27.1262
889,4.7753,28.0355,4.9009,27.296
890,4.8667,28.1072,4.9769,27.4632
891,4.9521,28.258,5.0487,27.6189
892,4.88,28.2383,5.0129,27.5416
893,4.8079,28.1009,4.9772,27.4638
894,4.7358,28.2131,4.9414,27.3855
895,4.6636,28.2229,4.9056,27.3065
896,4.6334,27.9698,4.8699,27.227
897,4.6357,28.0139,4.8341,27.1469
898,4.638,28.3283,4.7984,27.0662
899,4.6403,28.5093,4.7626,26.9849
900,4.6377,28.5338,4.7318,26.9143
901,4.5848,28.2588,4.7519,26.9604
902,4.5319,28.0141,4.772,27.0063
903,4.4789,27.9541,4.7921,27.052
904,4.426,27.956,4.8122,27.0975
905,4.3753,27.9903,4.8323,27.1428
906,4.326,27.8829,4.8524,27.188
907,4.2767,27.7937,4.8725,27.2329
908,4.2273,27.7927,4.8927,27.2777
909,4.1951,27.8348,4.8959,27.2848
910,4.2703,27.9477,4.7931,27.0542
911,4.3455,28.0018,4.6903,26.8186
912,4.4207,28.0997,4.5875,26.5777
913,4.4959,28.3082,4.4847,26.3314
914,4.5632,28.4097,4.4841,26.3298
915,4.6265,28.4707,4.5354,26.4537
916,4.6898,28.2752,4.5868,26.5762
917,4.7531,28.0283,4.6382,26.6973
918,4.8003,28.0946,4.6674,26.7653
919,4.778,28.1708,4.5999,26.6071
920,4.7557,28.2731,4.5325,26.4466
921,4.7334,28.1976,4.4651,26.2837
922,4.7111,28.151,4.3977,26.1183
923,4.6888,28.3917,4.4454,26.2358
924,4.6665,28.4084,4.5397,26.4638
925,4.6442,28.1926,4.6339,26.6871
926,4.6219,28.1043,4.7281,26.9059
927,4.5996,28.0424,4.7685,26.9982
928,4.5773,27.8369,4.6356,26.6911
929,4.555,27.7979,4.5028,26.3751
930,4.5326,27.9416,4.3699,26.0496
931,4.4987,27.9588,4.4054,26.1375
932,4.4628,27.9711,4.4707,26.2973
933,4.549,28.2522,4.5317,26.4448
934,4.7353,28.4472,4.5894,26.5823
935,4.9396,28.5259,4.6472,26.7181
936,5.1977,28.4536,4.7049,26.8523
937,5.4558,28.3532,4.7626,26.9848
938,5.0819,28.4497,4.7839,27.0333
939,4.6747,28.3995,4.8032,27.0772
940,4.5501,28.2028,4.9626,27.432
941,4.5777,28.2582,5.1974,27.9345
942,4.5786,28.3726,5.2693,28.0839
943,4.5298,28.383,5.0389,27.5979
944,4.4898,28.3879,4.8196,27.1141
945,4.6162,28.4645,4.8109,27.0945
946,4.7425,28.592,4.8022,27.0748
947,4.8689,28.7208,4.712,26.8687
948,4.9953,28.796,4.5946,26.5944
949,5.1216,28.8392,4.566,26.5267
950,5.248,28.8485,4.6461,26.7156
951,5.3561,28.9277,4.7373,26.927
952,5.3611,28.9682,4.892,27.2764
953,5.3661,28.8003,5.0468,27.6149
954,5.0565,28.6096,5.0811,27.6885
955,4.6915,28.5885,5.0941,27.7163
956,4.4847,28.3667,5.0785,27.6829
957,4.4074,28.1785,5.0393,27.5988
958,4.3987,28.4125,4.9654,27.4382
959,4.5959,28.5532,4.7872,27.0408
960,4.7931,28.3983,4.6089,26.6283
961,4.6174,28.3992,4.6661,26.7623
962,4.4221,28.3727,4.7357,26.9232
963,4.3839,28.2036,4.9183,27.3345
964,4.4303,28.1922,5.1617,27.8597
965,4.4646,28.3799,5.2622,28.0691
966,4.4763,28.1809,5.097,27.7224
967,4.4907,28.1452,4.9322,27.3652
968,4.5583,28.4601,4.7757,27.0146
969,4.6258,28.4744,4.6191,26.6524
970,4.6934,28.2327,4.5833,26.5677
971,4.761,28.4457,4.5876,26.578
972,4.7361,28.5348,4.502,26.3731
973,4.5983,28.4268,4.3063,25.8902
974,4.5275,28.4728,4.1413,25.4655
975,4.8363,28.8477,4.15,25.4883
976,5.1452,28.9269,4.1587,25.511
977,5.0152,28.8713,4.1896,25.5914
978,4.8077,28.8981,4.2243,25.6813
979,4.7517,28.6832,4.3548,26.0118
980,4.8195,28.4524,4.5635,26.5206
981,4.846,28.4033,4.7091,26.8622
982,4.7483,28.4172,4.6657,26.7613
983,4.6507,28.4712,4.6222,26.6596
984,4.6393,28.5556,4.5684,26.5323
985,4.6323,28.6677,4.514,26.4022
986,4.6128,28.6191,4.4597,26.2705
987,4.5865,28.5402,4.4053,26.1373
988,4.5602,28.4387,4.4126,26.1552
989,4.5339,28.3556,4.5343,26.451
990,4.5114,28.3979,4.6476,26.7192
991,4.5597,28.7684,4.5998,26.6068
992,4.6079,28.7621,4.552,26.4932
993,4.7146,28.6593,4.5237,26.4255
994,4.8407,28.5637,4.502,26.3731
995,4.773,28.4721,4.4783,26.3158
996,4.4687,28.4102,4.4522,26.2523
997,4.2296,28.3708,4.4613,26.2745
998,4.36,28.4581,4.67,26.7715
999,4.4904,28.4759,4.8787,27.2467
1000,4.4546,28.536,4.9063,27.308
1001,4.3893,28.6556,4.902,27.2984
1002,4.4437,28.6595,4.8402,27.1606
1003,4.5959,28.643,4.7315,26.9137
1004,4.6883,28.5552,4.65,26.7248
1005,4.6013,28.2302,4.65,26.7248
1006,4.5143,28.0923,4.65,26.7248
1007,4.6422,28.516,4.7285,26.9067
1008,4.7813,28.6968,4.8111,27.095
1009,4.8243,28.5976,4.7637,26.9874
1010,4.8157,28.5895,4.6463,26.7162
1011,4.7917,28.6101,4.5654,26.5253
1012,4.7396,28.6473,4.5524,26.4942
1013,4.692,28.5516,4.5654,26.5253
1014,4.7311,28.5233,5.0741,27.6736
1015,4.7702,28.7896,5.5828,28.7121
1016,4.78,28.8449,5.2502,28.0444
1017,4.78,28.6646,4.6372,26.6948
1018,4.6391,28.2828,4.2746,25.8098
1019,4.3261,28.1722,4.218,25.6651
1020,4.0998,28.2318,4.1596,25.5133
1021,4.365,28.4387,4.09,25.33
1022,4.6302,28.6541,4.0204,25.1435
1023,4.6386,28.5932,4.1948,25.605
1024,4.6016,28.5237,4.4122,26.1542
1025,4.5647,28.3977,4.4574,26.265
1026,4.5277,28.2429,4.3617,26.0292
1027,4.5554,28.3592,4.2911,25.8517
1028,4.7772,28.6749,4.2954,25.8627
1029,4.9989,28.6896,4.2998,25.8737
1030,4.7911,28.505,4.4404,26.2236
1031,4.5607,28.4122,4.5883,26.5795
1032,4.6722,28.363,4.5496,26.4875
1033,4.9678,28.4113,4.4104,26.1499
1034,5.0717,28.45,4.2972,25.8671
1035,4.8196,28.3912,4.232,25.7009
1036,4.5909,28.393,4.1741,25.5513
1037,4.8083,28.4933,4.2567,25.7643
1038,5.0257,28.6262,4.3393,25.9732
1039,4.93,28.6768,4.2426,25.7282
1040,4.73,28.556,4.0861,25.3196
1041,4.7041,28.5402,4.1135,25.3922
1042,4.8911,28.6423,4.3657,26.0389
1043,5.003,28.6684,4.552,26.4932
1044,4.69,28.485,4.365,26.0373
1045,4.377,28.3183,4.178,25.5615
1046,4.6441,28.4803,4.2091,25.6421
1047,5.0137,28.6786,4.2787,25.8202
1048,5.0413,28.604,4.2741,25.8086
1049,4.7891,28.7071,4.2089,25.6415
1050,4.637,28.8545,4.2991,25.872
1051,4.7848,28.8267,4.8557,27.1952
1052,4.9326,28.7738,5.4122,28.3746
1053,4.9441,28.6688,5.1591,27.8542
1054,4.9485,28.6638,4.8635,27.2127
1055,4.9387,28.815,4.712,26.8687
1056,4.9213,28.9408,4.638,26.6968
1057,4.8963,28.9422,4.7513,26.9591
1058,4.8572,28.8364,5.2122,27.9653
1059,4.822,28.577,5.6213,28.7867
1060,4.8611,28.5276,5.0474,27.6162
1061,4.9002,28.6164,4.4735,26.3041
1062,4.835,28.7771,4.3267,25.9416
1063,4.735,28.7091,4.3224,25.9307
1064,4.6937,28.6855,4.4413,26.2257
1065,4.7241,28.7576,4.7109,26.8662
1066,4.7774,28.7536,4.91,27.3162
1067,4.96,28.791,4.71,26.8642
1068,5.1426,28.8039,4.51,26.3925
1069,5.0407,28.8384,4.5909,26.5857
1070,4.8885,28.9436,4.7213,26.8902
1071,4.8511,29.0004,4.6963,26.8325
1072,4.9076,28.929,4.5441,26.4745
1073,4.9391,28.8448,4.4414,26.2259
1074,4.8957,28.8309,4.4871,26.3371
1075,4.8522,28.9887,4.5327,26.4471
1076,4.8417,29.1306,4.5784,26.5561
1077,4.833,28.92,4.624,26.6639
1078,4.6943,28.7357,4.5863,26.5749
1079,4.4857,28.584,4.5037,26.3773
1080,4.3647,28.6765,4.4257,26.1873
1081,4.4067,28.7616,4.3561,26.0151
1082,4.4488,28.7026,4.2957,25.8632
1083,4.4908,28.4689,4.4087,26.1456
1084,4.5328,28.6622,4.5217,26.4208
1085,4.5749,28.7957,4.488,26.3395
1086,4.6169,28.7148,4.4054,26.1375
1087,4.6323,28.8523,4.3893,26.0978
1088,4.6153,28.8083,4.4546,26.2581
1089,4.5983,28.5942,4.4914,26.3476
1090,4.5812,28.5695,4.3674,26.0432
1091,4.5642,28.6463,4.2434,25.7301
1092,4.5564,28.909,4.1586,25.5109
1093,4.5945,29.0097,4.2705,25.7993
1094,4.6327,29.0002,4.3823,26.0802
1095,4.6709,28.9082,4.4941,26.3541
1096,4.6695,28.9884,4.5064,26.3838
1097,4.6286,28.9933,4.4191,26.1712
1098,4.5877,28.9785,4.3318,25.9544
1099,4.5468,28.9586,4.2445,25.7331
1100,4.5627,28.93,4.2914,25.8524
1101,4.59,28.9434,4.365,26.0373
1102,4.6173,29.0168,4.4386,26.2192
1103,4.6486,28.8054,4.51,26.3925
1104,4.7005,28.7382,4.57,26.5362
1105,4.7523,28.8442,4.63,26.678
1106,4.8041,28.9983,4.69,26.8179
1107,4.8327,28.6956,4.6791,26.7926
1108,4.8382,28.6281,4.5973,26.6008
1109,4.8436,28.743,4.5155,26.4057
1110,4.8491,28.8137,4.4336,26.2069
1111,4.9068,28.8937,4.4336,26.2069
1112,4.975,28.9629,4.45,26.2469
1113,5.0432,28.9338,4.4664,26.2868
1114,5.1218,28.7539,4.495,26.3563
1115,5.2527,29.1147,4.585,26.5718
1116,5.3836,29.0402,4.675,26.7831
1117,5.5145,29.099,4.765,26.9903
1118,5.5145,29.2686,4.7895,27.0462
1119,5.3836,29.3157,4.7486,26.953
1120,5.2527,29.2186,4.7077,26.8589
1121,5.1218,29.0028,4.6668,26.764
1122,5.0545,28.8988,4.6305,26.679
1123,5,28.7508,4.595,26.5955
1124,4.9455,28.8583,4.5595,26.5113
1125,4.8782,29.0797,4.5095,26.3914
1126,4.7473,28.9579,4.3868,26.0915
1127,4.6164,28.6368,4.2641,25.7831
1128,4.4855,28.6414,4.1414,25.4656
1129,4.4623,28.7818,4.1727,25.5477
1130,4.5468,28.7688,4.3582,26.0203
1131,4.6314,28.8559,4.5436,26.4733
1132,4.7159,28.8501,4.7291,26.9081
1133,4.7368,28.6727,4.7748,27.0126
1134,4.745,28.9723,4.7925,27.0529
1135,4.7532,28.7422,4.8102,27.093
1136,4.7645,28.737,4.828,27.133
1137,4.7918,28.7735,4.8457,27.1729
1138,4.8191,28.8623,4.8634,27.2125
1139,4.8464,28.9573,4.8811,27.2521
1140,5.0305,29.018,4.9118,27.3202
1141,5.3714,29.1281,4.9555,27.4163
1142,5.7123,29.5421,4.9736,27.4562
1143,6.0532,29.464,4.9791,27.4681
1144,5.7964,29.2765,4.7845,27.0348
1145,5.42,29.1145,4.55,26.4885
1146,5.0436,28.9614,4.6536,26.7333
1147,4.7227,28.8457,4.8109,27.0946
1148,4.6791,28.829,5.2364,28.0157
1149,4.6355,28.9228,5.2818,28.1096
1150,4.5918,28.7879,4.5673,26.5297
1151,4.5332,28.7652,4.2891,25.8466
1152,4.4595,28.875,4.4473,26.2403
1153,4.3859,28.8537,4.4236,26.1824
1154,4.3123,28.5577,4.3091,25.8972
1155,4.5205,28.7948,4.3491,25.9976
1156,4.785,28.9063,4.42,26.1734
1157,5.0495,29.01,5.38,28.3098
1158,5.2359,29.0054,6.08,29.6393
1159,5.0314,28.9792,5.48,28.51
1160,4.8268,28.9595,5.0691,27.6628
1161,4.6223,28.7351,5.0364,27.5924
1162,4.685,28.7461,4.9109,27.3182
1163,5.015,28.9489,4.6927,26.8242
1164,5.345,29.1831,5.2273,27.9968
1165,5.675,29.3215,6.1382,29.7429
1166,5.48,29.2339,5.4809,28.5118
1167,5.18,29.2189,4.51,26.3925
1168,4.88,28.8903,4.45,26.2469
1169,4.6191,28.7369,4.3864,26.0904
1170,4.5536,28.6484,4.3045,25.8857
1171,4.4882,28.6324,4.2523,25.753
1172,4.4227,28.6863,4.2591,25.7705
1173,4.3955,28.8001,4.266,25.788
1174,4.4064,28.8423,4.2729,25.8054
1175,4.4173,28.7097,4.306,25.8894
1176,4.4282,28.8082,4.3523,26.0056
1177,4.4709,28.6048,4.4787,26.3168
1178,4.52,28.6498,4.6211,26.6571
1179,4.5691,28.6222,4.5278,26.4353
1180,4.5986,28.7322,4.4502,26.2474
1181,4.5305,28.6755,4.4513,26.2501
1182,4.4623,28.6541,4.4955,26.3575
1183,4.3941,28.7103,4.626,26.6685
1184,4.5223,28.7081,4.7565,26.9709
1185,4.8468,28.9132,4.887,27.2651
1186,5.1714,28.9802,4.5703,26.5369
1187,5.4959,29.0808,4.03,25.1695
1188,5.3636,29.0853,4.4025,26.1303
1189,5.14,28.9075,4.9575,27.4209
1190,4.9164,28.8256,4.5116,26.3964
1191,4.7636,28.9409,4.2251,25.6831
1192,4.9655,29.0905,4.7354,26.9227
1193,5.1673,28.9918,4.951,27.4066
1194,5.3691,29.0355,4.577,26.5528
1195,5.3595,29.1358,4.3368,25.9669
1196,5.1386,29.027,4.2305,25.697
1197,4.9177,28.9199,4.1241,25.4202
1198,4.6968,28.9167,4.0177,25.1362
1199,4.623,28.7547,4.2852,25.8368
1200,4.5785,28.5012,4.6275,26.6721
1201,4.5569,28.5118,4.9698,27.4477
1202,4.6838,28.6395,5.2008,27.9416
1203,4.8338,28.6254,5.126,27.7841
1204,5.0185,28.8703,4.8818,27.2536
1205,4.9069,28.9827,4.4894,26.3429
1206,4.6473,28.642,4.5924,26.5894
1207,4.4469,28.7207,4.82,27.1151
1208,4.3373,28.6976,5.0573,27.6374
1209,4.5738,28.6756,5.1309,27.7945
1210,4.7996,28.9435,4.8772,27.2433
1211,5.0131,29.0634,4.4671,26.2887
1212,4.9727,29.0191,4.4871,26.3371
1213,4.84,29.0412,4.6509,26.7269
1214,5.1631,28.8762,4.7344,26.9204
1215,5.1938,29.098,4.5369,26.4572
1216,4.4208,28.6777,4.7418,26.9373
1217,4.0569,28.53,4.7651,26.9906
1218,4.0512,28.4832,4.9784,27.4665
1219,4.0362,28.5606,4.5605,26.5134
1220,4.0331,28.5901,4.7313,26.9132
1221,4.2292,28.7019,4.6724,26.7771
1222,4.2773,28.7295,4.6136,26.6393
1223,4.0292,28.7382,4.5941,26.5932
1224,4.1135,28.6148,4.6268,26.6703
1225,4.4192,28.5902,4.6654,26.7607
1226,4.458,28.87,4.634,26.6873
1227,4.5658,28.8834,4.4835,26.3286
1228,4.6736,28.9532,4.3993,26.1224
1229,4.686,29.0545,4.3953,26.1125
1230,4.4908,28.62,4.5392,26.4627
1231,4.5371,28.8991,4.5546,26.4994
1232,4.5753,28.9351,4.5131,26.3999
1233,4.4001,28.7114,4.4084,26.1449
1234,4.4075,28.4928,4.3752,26.0628
1235,4.457,28.5378,4.3987,26.121
1236,4.4029,28.226,4.5427,26.4709
1237,4.4135,28.4633,4.4276,26.1921
1238,4.443,28.5788,4.2395,25.7203
1239,4.3948,28.6808,4.3769,26.0669
1240,4.3899,28.4232,4.3818,26.0792
1241,4.4216,28.4962,4.3089,25.8967
1242,4.5535,28.3034,4.2958,25.8636
1243,4.6771,28.2971,4.3155,25.9132
1244,4.7862,28.6326,4.3618,26.0293
1245,4.6152,28.0693,4.4272,26.1911
1246,4.6731,28.5209,4.4633,26.2793
1247,4.9612,28.5509,4.4698,26.2952
1248,4.6513,28.2726,4.3241,25.935
1249,4.5342,28.2403,4.2688,25.7952
1250,4.6852,28.3238,4.3343,25.9605
1251,4.6888,28.3438,4.5787,26.5568
1252,4.8191,28.4917,4.6572,26.7417
1253,5.1756,28.8311,4.4414,26.2258
1254,4.9865,28.3964,4.4827,26.3265
1255,4.7809,28.592,4.508,26.3877
1256,4.7333,28.4321,4.4099,26.1485
1257,4.683,28.4424,4.4943,26.3546
1258,4.6723,28.4424,4.5637,26.5211
1259,4.7714,28.155,4.4655,26.2848
1260,4.8092,28.2881,4.44,26.2225
1261,4.7636,28.3234,4.4552,26.2596
1262,4.4865,28.2462,4.5271,26.4337
1263,4.3276,28.108,4.4563,26.2623
1264,4.2652,28.0384,4.343,25.9824
1265,4.4321,28.1049,4.3626,26.0314
1266,4.6822,28.2521,4.4231,26.1811
1267,4.9795,28.4347,4.4856,26.3335
1268,5.2503,28.6312,4.3351,25.9626
1269,5.1637,28.6881,4.3182,25.9202
1270,4.8144,28.5151,4.4068,26.1409
1271,4.7122,28.4512,4.5834,26.568
1272,4.6101,28.3288,4.6033,26.6151
1273,4.5079,28.2204,4.4725,26.3017
1274,4.7273,28.4573,4.4572,26.2644
